"Region","Year","Threshold","Area_Threshold","Total_Area","Percent_Area_Used","Total_Abundance","n_cells","Area_Efficiency","Period"
"Canada",2009,50,45120574.0096,45120574.0096,100,1902709.9938755,64,23.7138471731559,"During Warming"
"Canada",2010,50,44415565.0407,44415565.0407,100,2127720.07060762,63,20.8747220342835,"During Warming"
"Canada",2011,50,58515744.4187,58515744.4187,100,2040863.35156889,83,28.6720540959868,"During Warming"
"Canada",2012,50,57105726.4809,57105726.4809,100,2400064.34492498,81,23.7934147897543,"During Warming"
"Canada",2013,50,64155816.1699,64155816.1699,100,2337985.24048536,91,27.4406420788959,"During Warming"
"Canada",2014,50,57105726.4809,57105726.4809,100,2523149.72269194,81,22.6327141696427,"During Warming"
"Canada",2015,50,67680861.0144,67680861.0144,100,2489610.79682447,96,27.1853179222743,"During Warming"
"Canada",2016,50,60630771.3254,60630771.3254,100,3365729.2968805,86,18.0141556189903,"During Warming"
"Canada",2017,50,74730950.7034,74730950.7034,100,2677242.75128603,106,27.913401079339,"During Warming"
"Canada",2018,50,74025941.7345,74025941.7345,100,2665279.768156,105,27.774173135196,"During Warming"
"Canada",2019,50,73320932.7656,73320932.7656,100,2685262.85942658,104,27.3049368363354,"During Warming"
"Canada",2020,50,80371022.4546,80371022.4546,100,2829700.80225459,114,28.4026574083606,"During Warming"
"Canada",2021,50,69795887.9211,69795887.9211,100,2219874.92934233,99,31.4413605012324,"During Warming"
"Canada",2022,50,81076031.4235,81076031.4235,100,2492432.59116727,115,32.5288762917074,"During Warming"
"Canada",2023,50,74730950.7034,74730950.7034,100,2556299.81061804,106,29.2340320931809,"During Warming"
"USA",1990,50,3099205.4793,3099205.4793,100,75285.371718196,21,41.1661044977074,"Before Warming"
"USA",1991,50,2213718.1995,2213718.1995,100,97460.086775771,15,22.7141004357318,"Before Warming"
"USA",1992,50,2508880.6261,2508880.6261,100,76161.316356588,17,32.9416657447647,"Before Warming"
"USA",1993,50,2361299.4128,2361299.4128,100,52493.338057818,16,44.9828397309994,"Before Warming"
"USA",1994,50,1918555.7729,1918555.7729,100,47771.563693769,13,40.1610419369681,"Before Warming"
"USA",1995,50,1918555.7729,1918555.7729,100,55390.893758978,13,34.6366639478359,"Before Warming"
"USA",1996,50,1475812.133,1475812.133,100,54779.095823942,10,26.9411553951749,"Before Warming"
"USA",1997,50,1770974.5596,1770974.5596,100,58176.05829444,12,30.4416389064512,"Before Warming"
"USA",1998,50,1475812.133,1475812.133,100,57841.943955854,10,25.5145666287835,"Before Warming"
"USA",1999,50,1328230.9197,1328230.9197,100,54712.725932239,9,24.276453001903,"Before Warming"
"USA",2000,50,1475812.133,1475812.133,100,40749.345533173,10,36.2168303242706,"Before Warming"
"USA",2001,50,885487.2798,885487.2798,100,59553.76375636,6,14.8687039063158,"Before Warming"
"USA",2002,50,1033068.4931,1033068.4931,100,57744.770272518,7,17.8902520215179,"Before Warming"
"USA",2003,50,885487.2798,885487.2798,100,79043.36703473,6,11.2025501065881,"Before Warming"
"USA",2004,50,1180649.7064,1180649.7064,100,72313.260086194,8,16.3268770484517,"Before Warming"
"USA",2005,50,1033068.4931,1033068.4931,100,85436.321780045,7,12.0916780073892,"Before Warming"
"USA",2006,50,737906.0665,737906.0665,100,129808.928604736,5,5.68455555739852,"During Warming"
"USA",2007,50,1328230.9197,1328230.9197,100,109112.32463199,9,12.1730604143923,"During Warming"
"USA",2008,50,1033068.4931,1033068.4931,100,147766.23772998,7,6.99123500043206,"During Warming"
"USA",2009,50,885487.2798,885487.2798,100,143920.699560648,6,6.15260544524283,"During Warming"
"USA",2010,50,737906.0665,737906.0665,100,290882.7972529,5,2.53678138916702,"During Warming"
"USA",2011,50,1475812.133,1475812.133,100,178278.30801494,10,8.27813629954534,"During Warming"
"USA",2012,50,1180649.7064,1180649.7064,100,270324.130271816,8,4.36753354283554,"During Warming"
"USA",2013,50,1475812.133,1475812.133,100,200244.816259676,10,7.37003913792294,"During Warming"
"USA",2014,50,1328230.9197,1328230.9197,100,185434.59476033,9,7.16280002346223,"During Warming"
"USA",2015,50,2361299.4128,2361299.4128,100,137918.28334407,16,17.121003506904,"During Warming"
"USA",2016,50,1623393.3463,1623393.3463,100,189721.046368624,11,8.55673831329067,"During Warming"
"USA",2017,50,2361299.4128,2361299.4128,100,130439.550146009,16,18.1026338266028,"During Warming"
"USA",2018,50,1033068.4931,1033068.4931,100,182404.317528106,7,5.66361864181652,"During Warming"
"USA",2019,50,2508880.6261,2508880.6261,100,116940.647827277,17,21.4543075715268,"During Warming"
"USA",2020,50,1475812.133,1475812.133,100,145772.06542533,10,10.1241079948611,"During Warming"
"USA",2021,50,2066136.9862,2066136.9862,100,131150.736192305,14,15.7539106999022,"During Warming"
"USA",2022,50,2066136.9862,2066136.9862,100,125968.041169109,14,16.4020728354922,"During Warming"
"USA",2023,50,1475812.133,1475812.133,100,135036.37628004,10,10.928996864811,"During Warming"
"Canada",1990,75,90241148.0192,90241148.0192,100,1130382.85212418,128,79.8323752431502,"Before Warming"
"Canada",1991,75,80371022.4546,80371022.4546,100,1562601.89094226,114,51.4341003428173,"Before Warming"
"Canada",1992,75,105046336.3661,105046336.3661,100,998483.168708838,149,105.205915991491,"Before Warming"
"Canada",1993,75,82486049.3613,82486049.3613,100,927750.05453423,117,88.9097758153315,"Before Warming"
"Canada",1994,75,95881219.7704,95881219.7704,100,791191.884502948,136,121.185797843004,"Before Warming"
"Canada",1995,75,70500896.89,70500896.89,100,1031428.34254222,100,68.3526852832378,"Before Warming"
"Canada",1996,75,83896067.2991,83896067.2991,100,905715.236984513,119,92.6296300130971,"Before Warming"
"Canada",1997,75,82486049.3613,82486049.3613,100,1113933.73962577,117,74.0493320446612,"Before Warming"
"Canada",1998,75,102931309.4594,102931309.4594,100,816477.589192679,146,126.067525700463,"Before Warming"
"Canada",1999,75,90946156.9881,90946156.9881,100,848564.886712928,129,107.176432129306,"Before Warming"
"Canada",2000,75,102931309.4594,102931309.4594,100,770569.299982509,146,133.578264098682,"Before Warming"
"Canada",2001,75,95881219.7704,95881219.7704,100,844234.818375835,136,113.571742936236,"Before Warming"
"Canada",2002,75,97996246.6771,97996246.6771,100,844121.186945102,139,116.092627685073,"Before Warming"
"Canada",2003,75,89536139.0503,89536139.0503,100,943819.885665378,127,94.8657052157557,"Before Warming"
"Canada",2004,75,111391417.0862,111391417.0862,100,863544.360826463,158,128.993277171762,"Before Warming"
"Canada",2005,75,82486049.3613,82486049.3613,100,1263230.28925451,117,65.2977133804942,"Before Warming"
"Canada",2006,75,70500896.89,70500896.89,100,1426004.0629434,100,49.4394782750337,"During Warming"
"Canada",2007,75,107866372.2417,107866372.2417,100,1408214.67760023,153,76.5979604938625,"During Warming"
"Canada",2008,75,107161363.2728,107161363.2728,100,1687381.98370758,152,63.5074715194841,"During Warming"
"Canada",2009,75,114916461.9307,114916461.9307,100,1902709.9938755,163,60.3962045191314,"During Warming"
"Canada",2010,75,112096426.0551,112096426.0551,100,2127720.07060762,159,52.6838222770012,"During Warming"
"Canada",2011,75,139591775.8422,139591775.8422,100,2040863.35156889,198,68.3983941084985,"During Warming"
"Canada",2012,75,134656713.0599,134656713.0599,100,2400064.34492498,191,56.1054595659638,"During Warming"
"Canada",2013,75,143821829.6556,143821829.6556,100,2337985.24048536,204,61.5152855395029,"During Warming"
"Canada",2014,75,131836677.1843,131836677.1843,100,2523149.72269194,187,52.2508339471999,"During Warming"
"Canada",2015,75,150166910.3757,150166910.3757,100,2489610.79682447,213,60.3174241400462,"During Warming"
"Canada",2016,75,136771739.9666,136771739.9666,100,3365729.2968805,194,40.6365836056292,"During Warming"
"Canada",2017,75,160037035.9403,160037035.9403,100,2677242.75128603,227,59.7768117453768,"During Warming"
"Canada",2018,75,164267089.7537,164267089.7537,100,2665279.768156,233,61.6322127666731,"During Warming"
"Canada",2019,75,155806982.1269,155806982.1269,100,2685262.85942658,221,58.0229907772127,"During Warming"
"Canada",2020,75,182597322.9451,182597322.9451,100,2829700.80225459,259,64.5288444628542,"During Warming"
"Canada",2021,75,149461901.4068,149461901.4068,100,2219874.92934233,212,67.3289740026391,"During Warming"
"Canada",2022,75,175547233.2561,175547233.2561,100,2492432.59116727,249,70.4320886663926,"During Warming"
"Canada",2023,75,164267089.7537,164267089.7537,100,2556299.81061804,233,64.2597120538787,"During Warming"
"USA",1990,75,8264547.9448,8264547.9448,100,75285.371718196,56,109.776278660553,"Before Warming"
"USA",1991,75,6788735.8118,6788735.8118,100,97460.086775771,46,69.6565746695776,"Before Warming"
"USA",1992,75,7379060.665,7379060.665,100,76161.316356588,50,96.8872521904843,"Before Warming"
"USA",1993,75,7083898.2384,7083898.2384,100,52493.338057818,48,134.948519192998,"Before Warming"
"USA",1994,75,6198410.9586,6198410.9586,100,47771.563693769,42,129.751058565589,"Before Warming"
"USA",1995,75,5903248.532,5903248.532,100,55390.893758978,40,106.574350608726,"Before Warming"
"USA",1996,75,5755667.3187,5755667.3187,100,54779.095823942,39,105.070506041182,"Before Warming"
"USA",1997,75,6050829.7453,6050829.7453,100,58176.05829444,41,104.008932930375,"Before Warming"
"USA",1998,75,5165342.4655,5165342.4655,100,57841.943955854,35,89.3009832007424,"Before Warming"
"USA",1999,75,4870180.0389,4870180.0389,100,54712.725932239,33,89.0136610069777,"Before Warming"
"USA",2000,75,5460504.8921,5460504.8921,100,40749.345533173,37,134.002272199801,"Before Warming"
"USA",2001,75,3394367.9059,3394367.9059,100,59553.76375636,23,56.996698307544,"Before Warming"
"USA",2002,75,4279855.1857,4279855.1857,100,57744.770272518,29,74.1167583748597,"Before Warming"
"USA",2003,75,3099205.4793,3099205.4793,100,79043.36703473,21,39.2089253730585,"Before Warming"
"USA",2004,75,3689530.3325,3689530.3325,100,72313.260086194,25,51.0214907764116,"Before Warming"
"USA",2005,75,3394367.9059,3394367.9059,100,85436.321780045,23,39.7297991671361,"Before Warming"
"USA",2006,75,2804043.0527,2804043.0527,100,129808.928604736,19,21.6013111181144,"During Warming"
"USA",2007,75,4427436.399,4427436.399,100,109112.32463199,30,40.5768680479744,"During Warming"
"USA",2008,75,3246786.6926,3246786.6926,100,147766.23772998,22,21.9724528585007,"During Warming"
"USA",2009,75,3837111.5458,3837111.5458,100,143920.699560648,26,26.6612902627189,"During Warming"
"USA",2010,75,1918555.7729,1918555.7729,100,290882.7972529,13,6.59563161183425,"During Warming"
"USA",2011,75,4427436.399,4427436.399,100,178278.30801494,30,24.834408898636,"During Warming"
"USA",2012,75,3394367.9059,3394367.9059,100,270324.130271816,23,12.5566589356522,"During Warming"
"USA",2013,75,4722598.8256,4722598.8256,100,200244.816259676,32,23.5841252413534,"During Warming"
"USA",2014,75,3984692.7591,3984692.7591,100,185434.59476033,27,21.4884000703867,"During Warming"
"USA",2015,75,6198410.9586,6198410.9586,100,137918.28334407,42,44.942634205623,"During Warming"
"USA",2016,75,5165342.4655,5165342.4655,100,189721.046368624,35,27.2259855422885,"During Warming"
"USA",2017,75,6345992.1719,6345992.1719,100,130439.550146009,43,48.6508284089951,"During Warming"
"USA",2018,75,4132273.9724,4132273.9724,100,182404.317528106,28,22.6544745672661,"During Warming"
"USA",2019,75,6641154.5985,6641154.5985,100,116940.647827277,45,56.7908141599239,"During Warming"
"USA",2020,75,5165342.4655,5165342.4655,100,145772.06542533,35,35.4343779820139,"During Warming"
"USA",2021,75,6050829.7453,6050829.7453,100,131150.736192305,41,46.1364527639992,"During Warming"
"USA",2022,75,6198410.9586,6198410.9586,100,125968.041169109,42,49.2062185064765,"During Warming"
"USA",2023,75,5312923.6788,5312923.6788,100,135036.37628004,36,39.3443887133197,"During Warming"
"Canada",1990,90,166382116.6604,166382116.6604,100,1130382.85212418,236,147.190941854558,"Before Warming"
"Canada",1991,90,157922009.0336,157922009.0336,100,1562601.89094226,224,101.063495410448,"Before Warming"
"Canada",1992,90,186827376.7585,186827376.7585,100,998483.168708838,265,187.111192870773,"Before Warming"
"Canada",1993,90,150871919.3446,150871919.3446,100,927750.05453423,214,162.621299354538,"Before Warming"
"Canada",1994,90,170612170.4738,170612170.4738,100,791191.884502948,242,215.639434397111,"Before Warming"
"Canada",1995,90,141706802.7489,141706802.7489,100,1031428.34254222,201,137.388897419308,"Before Warming"
"Canada",1996,90,157217000.0647,157217000.0647,100,905715.236984513,223,173.583256243031,"Before Warming"
"Canada",1997,90,150871919.3446,150871919.3446,100,1113933.73962577,214,135.440658611603,"Before Warming"
"Canada",1998,90,179777287.0695,179777287.0695,100,816477.589192679,255,220.186431874096,"Before Warming"
"Canada",1999,90,168497143.5671,168497143.5671,100,848564.886712928,239,198.567188208558,"Before Warming"
"Canada",2000,90,186122367.7896,186122367.7896,100,770569.299982509,264,241.538778918164,"Before Warming"
"Canada",2001,90,177662260.1628,177662260.1628,100,844234.818375835,252,210.441758970084,"Before Warming"
"Canada",2002,90,178367269.1317,178367269.1317,100,844121.186945102,253,211.30528636204,"Before Warming"
"Canada",2003,90,158627018.0025,158627018.0025,100,943819.885665378,225,168.069162783819,"Before Warming"
"Canada",2004,90,200927556.1365,200927556.1365,100,863544.360826463,285,232.677746797166,"Before Warming"
"Canada",2005,90,165677107.6915,165677107.6915,100,1263230.28925451,235,131.153526875352,"Before Warming"
"Canada",2006,90,131836677.1843,131836677.1843,100,1426004.0629434,187,92.4518243743131,"During Warming"
"Canada",2007,90,195992493.3542,195992493.3542,100,1408214.67760023,278,139.177993577083,"During Warming"
"Canada",2008,90,203042583.0432,203042583.0432,100,1687381.98370758,288,120.329946036917,"During Warming"
"Canada",2009,90,201632565.1054,201632565.1054,100,1902709.9938755,286,105.97125455504,"During Warming"
"Canada",2010,90,197402511.292,197402511.292,100,2127720.07060762,280,92.7765423745933,"During Warming"
"Canada",2011,90,232652959.737,232652959.737,100,2040863.35156889,330,113.997323514164,"During Warming"
"Canada",2012,90,227717896.9547,227717896.9547,100,2400064.34492498,323,94.8799132974152,"During Warming"
"Canada",2013,90,231242941.7992,231242941.7992,100,2337985.24048536,328,98.9069296909654,"During Warming"
"Canada",2014,90,219257789.3279,219257789.3279,100,2523149.72269194,311,86.8984457624555,"During Warming"
"Canada",2015,90,237588022.5193,237588022.5193,100,2489610.79682447,337,95.4317931229839,"During Warming"
"Canada",2016,90,224897861.0791,224897861.0791,100,3365729.2968805,319,66.8199493309058,"During Warming"
"Canada",2017,90,247458148.0839,247458148.0839,100,2677242.75128603,351,92.4302243287545,"During Warming"
"Canada",2018,90,260148309.5241,260148309.5241,100,2665279.768156,369,97.6063798751175,"During Warming"
"Canada",2019,90,242523085.3016,242523085.3016,100,2685262.85942658,344,90.3163295355708,"During Warming"
"Canada",2020,90,303858865.5959,303858865.5959,100,2829700.80225459,431,107.381976693012,"During Warming"
"Canada",2021,90,235472995.6126,235472995.6126,100,2219874.92934233,334,106.074893004158,"During Warming"
"Canada",2022,90,274248488.9021,274248488.9021,100,2492432.59116727,389,110.032459804123,"During Warming"
"Canada",2023,90,264378363.3375,264378363.3375,100,2556299.81061804,375,103.422283348517,"During Warming"
"USA",1990,90,14758121.33,14758121.33,100,75285.371718196,100,196.029069036702,"Before Warming"
"USA",1991,90,13134727.9837,13134727.9837,100,97460.086775771,89,134.770329252009,"Before Warming"
"USA",1992,90,13725052.8369,13725052.8369,100,76161.316356588,93,180.210289074301,"Before Warming"
"USA",1993,90,13429890.4103,13429890.4103,100,52493.338057818,91,255.839900970059,"Before Warming"
"USA",1994,90,12101659.4906,12101659.4906,100,47771.563693769,82,253.323495294722,"Before Warming"
"USA",1995,90,11806497.064,11806497.064,100,55390.893758978,80,213.148701217451,"Before Warming"
"USA",1996,90,11954078.2773,11954078.2773,100,54779.095823942,81,218.223358700917,"Before Warming"
"USA",1997,90,12101659.4906,12101659.4906,100,58176.05829444,82,208.01786586075,"Before Warming"
"USA",1998,90,11363753.4241,11363753.4241,100,57841.943955854,77,196.462163041633,"Before Warming"
"USA",1999,90,10773428.5709,10773428.5709,100,54712.725932239,73,196.909007682102,"Before Warming"
"USA",2000,90,11363753.4241,11363753.4241,100,40749.345533173,77,278.869593496884,"Before Warming"
"USA",2001,90,8854872.798,8854872.798,100,59553.76375636,60,148.687039063158,"Before Warming"
"USA",2002,90,10183103.7177,10183103.7177,100,57744.770272518,69,176.34676992639,"Before Warming"
"USA",2003,90,8707291.5847,8707291.5847,100,79043.36703473,59,110.15840938145,"Before Warming"
"USA",2004,90,8707291.5847,8707291.5847,100,72313.260086194,59,120.410718232331,"Before Warming"
"USA",2005,90,8412129.1581,8412129.1581,100,85436.321780045,57,98.4608066315981,"Before Warming"
"USA",2006,90,7821804.3049,7821804.3049,100,129808.928604736,53,60.2562889084243,"During Warming"
"USA",2007,90,9592778.8645,9592778.8645,100,109112.32463199,65,87.9165474372778,"During Warming"
"USA",2008,90,8264547.9448,8264547.9448,100,147766.23772998,56,55.9298800034565,"During Warming"
"USA",2009,90,8854872.798,8854872.798,100,143920.699560648,60,61.5260544524283,"During Warming"
"USA",2010,90,6050829.7453,6050829.7453,100,290882.7972529,41,20.8016073911696,"During Warming"
"USA",2011,90,9150035.2246,9150035.2246,100,178278.30801494,62,51.3244450571811,"During Warming"
"USA",2012,90,7969385.5182,7969385.5182,100,270324.130271816,54,29.4808514141399,"During Warming"
"USA",2013,90,9740360.0778,9740360.0778,100,200244.816259676,66,48.6422583102914,"During Warming"
"USA",2014,90,8854872.798,8854872.798,100,185434.59476033,60,47.7520001564148,"During Warming"
"USA",2015,90,11216172.2108,11216172.2108,100,137918.28334407,76,81.3247666577939,"During Warming"
"USA",2016,90,9887941.2911,9887941.2911,100,189721.046368624,67,52.1183151809522,"During Warming"
"USA",2017,90,11806497.064,11806497.064,100,130439.550146009,80,90.5131691330142,"During Warming"
"USA",2018,90,9740360.0778,9740360.0778,100,182404.317528106,66,53.3998329085557,"During Warming"
"USA",2019,90,12101659.4906,12101659.4906,100,116940.647827277,82,103.485483580306,"During Warming"
"USA",2020,90,10478266.1443,10478266.1443,100,145772.06542533,71,71.8811667635139,"During Warming"
"USA",2021,90,11363753.4241,11363753.4241,100,131150.736192305,77,86.6465088494619,"During Warming"
"USA",2022,90,11511334.6374,11511334.6374,100,125968.041169109,78,91.3829772263134,"During Warming"
"USA",2023,90,10773428.5709,10773428.5709,100,135036.37628004,73,79.7816771131205,"During Warming"
"Canada",1990,95,230537932.8303,230537932.8303,100,1130382.85212418,327,203.946771128985,"Before Warming"
"Canada",1991,95,213617717.5767,213617717.5767,100,1562601.89094226,303,136.706424595383,"Before Warming"
"Canada",1992,95,251688201.8973,251688201.8973,100,998483.168708838,357,252.070550395721,"Before Warming"
"Canada",1993,95,200927556.1365,200927556.1365,100,927750.05453423,285,216.575094934782,"Before Warming"
"Canada",1994,95,235472995.6126,235472995.6126,100,791191.884502948,334,297.618062349732,"Before Warming"
"Canada",1995,95,194582475.4164,194582475.4164,100,1031428.34254222,276,188.653411381736,"Before Warming"
"Canada",1996,95,210092672.7322,210092672.7322,100,905715.236984513,298,231.963275158848,"Before Warming"
"Canada",1997,95,199517538.1987,199517538.1987,100,1113933.73962577,283,179.110777509736,"Before Warming"
"Canada",1998,95,232652959.737,232652959.737,100,816477.589192679,330,284.947147131183,"Before Warming"
"Canada",1999,95,225602870.048,225602870.048,100,848564.886712928,320,265.864017685099,"Before Warming"
"Canada",2000,95,250278183.9595,250278183.9595,100,770569.299982509,355,324.796464075562,"Before Warming"
"Canada",2001,95,241113067.3638,241113067.3638,100,844234.818375835,342,285.599530030828,"Before Warming"
"Canada",2002,95,243933103.2394,243933103.2394,100,844121.186945102,346,288.978771072197,"Before Warming"
"Canada",2003,95,205862618.9188,205862618.9188,100,943819.885665378,292,218.116424590556,"Before Warming"
"Canada",2004,95,267903408.182,267903408.182,100,863544.360826463,380,310.236995729554,"Before Warming"
"Canada",2005,95,227012887.9858,227012887.9858,100,1263230.28925451,322,179.70823682495,"Before Warming"
"Canada",2006,95,174137215.3183,174137215.3183,100,1426004.0629434,247,122.115511339333,"During Warming"
"Canada",2007,95,268608417.1509,268608417.1509,100,1408214.67760023,381,190.743940837658,"During Warming"
"Canada",2008,95,272133461.9954,272133461.9954,100,1687381.98370758,386,161.275552674479,"During Warming"
"Canada",2009,95,259443300.5552,259443300.5552,100,1902709.9938755,368,136.354621245646,"During Warming"
"Canada",2010,95,256623264.6796,256623264.6796,100,2127720.07060762,364,120.609505086971,"During Warming"
"Canada",2011,95,293988740.0313,293988740.0313,100,2040863.35156889,417,144.051163349717,"During Warming"
"Canada",2012,95,286233641.3734,286233641.3734,100,2400064.34492498,406,119.260819810373,"During Warming"
"Canada",2013,95,287643659.3112,287643659.3112,100,2337985.24048536,408,123.030571079006,"During Warming"
"Canada",2014,95,270723444.0576,270723444.0576,100,2523149.72269194,384,107.295830137566,"During Warming"
"Canada",2015,95,288348668.2801,288348668.2801,100,2489610.79682447,409,115.82078156469,"During Warming"
"Canada",2016,95,277773533.7466,277773533.7466,100,3365729.2968805,394,82.5299687660717,"During Warming"
"Canada",2017,95,304563874.5648,304563874.5648,100,2677242.75128603,432,113.760276096929,"During Warming"
"Canada",2018,95,322894107.7562,322894107.7562,100,2665279.768156,458,121.148298056379,"During Warming"
"Canada",2019,95,301038829.7203,301038829.7203,100,2685262.85942658,427,112.107769510723,"During Warming"
"Canada",2020,95,391984986.7084,391984986.7084,100,2829700.80225459,556,138.525241395162,"During Warming"
"Canada",2021,95,289053677.249,289053677.249,100,2219874.92934233,410,130.211695005104,"During Warming"
"Canada",2022,95,341929349.9165,341929349.9165,100,2492432.59116727,485,137.187000012853,"During Warming"
"Canada",2023,95,325714143.6318,325714143.6318,100,2556299.81061804,462,127.416253085373,"During Warming"
"USA",1990,95,19185557.729,19185557.729,100,75285.371718196,130,254.837789747712,"Before Warming"
"USA",1991,95,17562164.3827,17562164.3827,100,97460.086775771,119,180.198530123472,"Before Warming"
"USA",1992,95,18152489.2359,18152489.2359,100,76161.316356588,123,238.342640388591,"Before Warming"
"USA",1993,95,18004908.0226,18004908.0226,100,52493.338057818,122,342.994152948871,"Before Warming"
"USA",1994,95,16086352.2497,16086352.2497,100,47771.563693769,109,336.734890086886,"Before Warming"
"USA",1995,95,16529095.8896,16529095.8896,100,55390.893758978,112,298.408181704432,"Before Warming"
"USA",1996,95,16676677.1029,16676677.1029,100,54779.095823942,113,304.435055965477,"Before Warming"
"USA",1997,95,16676677.1029,16676677.1029,100,58176.05829444,113,286.658766369083,"Before Warming"
"USA",1998,95,15791189.8231,15791189.8231,100,57841.943955854,107,273.005862927984,"Before Warming"
"USA",1999,95,15200864.9699,15200864.9699,100,54712.725932239,103,277.830517688446,"Before Warming"
"USA",2000,95,15643608.6098,15643608.6098,100,40749.345533173,106,383.898401437268,"Before Warming"
"USA",2001,95,13134727.9837,13134727.9837,100,59553.76375636,89,220.552441277018,"Before Warming"
"USA",2002,95,14758121.33,14758121.33,100,57744.770272518,100,255.575028878827,"Before Warming"
"USA",2003,95,13134727.9837,13134727.9837,100,79043.36703473,89,166.171159914391,"Before Warming"
"USA",2004,95,13134727.9837,13134727.9837,100,72313.260086194,89,181.636507164025,"Before Warming"
"USA",2005,95,12691984.3438,12691984.3438,100,85436.321780045,86,148.554901233639,"Before Warming"
"USA",2006,95,12101659.4906,12101659.4906,100,129808.928604736,82,93.2267111413358,"During Warming"
"USA",2007,95,13725052.8369,13725052.8369,100,109112.32463199,93,125.78829094872,"During Warming"
"USA",2008,95,12396821.9172,12396821.9172,100,147766.23772998,84,83.8948200051847,"During Warming"
"USA",2009,95,12839565.5571,12839565.5571,100,143920.699560648,87,89.212778956021,"During Warming"
"USA",2010,95,9887941.2911,9887941.2911,100,290882.7972529,67,33.9928706148381,"During Warming"
"USA",2011,95,12839565.5571,12839565.5571,100,178278.30801494,87,72.0197858060445,"During Warming"
"USA",2012,95,11806497.064,11806497.064,100,270324.130271816,80,43.6753354283554,"During Warming"
"USA",2013,95,13725052.8369,13725052.8369,100,200244.816259676,93,68.5413639826833,"During Warming"
"USA",2014,95,12987146.7704,12987146.7704,100,185434.59476033,88,70.0362668960751,"During Warming"
"USA",2015,95,15053283.7566,15053283.7566,100,137918.28334407,102,109.146397356513,"During Warming"
"USA",2016,95,14167796.4768,14167796.4768,100,189721.046368624,96,74.6769889159913,"During Warming"
"USA",2017,95,16086352.2497,16086352.2497,100,130439.550146009,109,123.324192943732,"During Warming"
"USA",2018,95,14020215.2635,14020215.2635,100,182404.317528106,95,76.8633958532241,"During Warming"
"USA",2019,95,16086352.2497,16086352.2497,100,116940.647827277,109,137.55997207626,"During Warming"
"USA",2020,95,14758121.33,14758121.33,100,145772.06542533,100,101.241079948611,"During Warming"
"USA",2021,95,15496027.3965,15496027.3965,100,131150.736192305,105,118.154330249266,"During Warming"
"USA",2022,95,15791189.8231,15791189.8231,100,125968.041169109,107,125.358699528404,"During Warming"
"USA",2023,95,15053283.7566,15053283.7566,100,135036.37628004,102,111.475768021073,"During Warming"
