"","X","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Period"
"226",226,18,1,"HaliChan",25812.3184019156,13217.2563231342,"18-07-08",1996,"Spring",7,"1990-2005"
"227",227,18,1,"GrandBanks",32524.3594206752,16545.0211974882,"18-07-04",1996,"Spring",7,"1990-2005"
"228",228,18,1,"GBTail",10217.5933453596,5600.57334090194,"18-06-27",1996,"Spring",7,"1990-2005"
"253",253,21,1,"Sable",209967.305584314,56033.4677808193,"21-05-04",1997,"Spring",8,"1990-2005"
"254",254,21,1,"Gully",305192.673421568,67079.5041172924,"21-05-09",1997,"Spring",8,"1990-2005"
"255",255,21,1,"BOF",52868.9523637603,20686.4773379593,"21-05-21",1997,"Spring",8,"1990-2005"
"256",256,21,1,"Browns",243802.750172871,81799.8996392426,"21-06-01",1997,"Spring",8,"1990-2005"
"257",257,21,1,"CapeCod",8182.83933601532,3634.35842209548,"21-05-23",1997,"Spring",8,"1990-2005"
"258",258,21,1,"Nantucket",7348.77704160177,3393.52560366516,"21-07-15",1997,"Spring",8,"1990-2005"
"259",259,21,1,"EGOM",38511.9137739029,14201.0031793803,"21-07-06",1997,"Spring",8,"1990-2005"
"260",260,21,1,"Georges",11821.2727248146,4205.6698907935,"21-06-15",1997,"Spring",8,"1990-2005"
"261",261,21,1,"CapeBreton",24079.6747596052,10567.6733191749,"21-06-12",1997,"Spring",8,"1990-2005"
"262",262,21,1,"HaliChan",49615.9738691972,25562.5193506216,"21-06-04",1997,"Spring",8,"1990-2005"
"263",263,21,1,"GrandBanks",67055.3037286904,33212.4083881374,"21-05-23",1997,"Spring",8,"1990-2005"
"264",264,21,1,"GBTail",9498.50350585989,5328.23052747956,"21-05-25",1997,"Spring",8,"1990-2005"
"289",289,24,1,"Sable",159621.173477021,46654.0711614776,"24-05-02",1998,"Spring",9,"1990-2005"
"290",290,24,1,"Gully",169040.020328338,53030.0864392389,"24-06-10",1998,"Spring",9,"1990-2005"
"291",291,24,1,"BOF",54312.6078129996,20393.5845081961,"24-06-15",1998,"Spring",9,"1990-2005"
"292",292,24,1,"Browns",223473.099501396,75891.9550524041,"24-05-14",1998,"Spring",9,"1990-2005"
"293",293,24,1,"CapeCod",8603.9798278032,3839.15641651919,"24-05-10",1998,"Spring",9,"1990-2005"
"294",294,24,1,"Nantucket",5554.06415704934,2538.14884711952,"24-05-31",1998,"Spring",9,"1990-2005"
"295",295,24,1,"EGOM",39796.4850768691,14210.1186405666,"24-07-02",1998,"Spring",9,"1990-2005"
"296",296,24,1,"Georges",10700.7943927848,3611.13609934364,"24-05-20",1998,"Spring",9,"1990-2005"
"297",297,24,1,"CapeBreton",25749.5294324623,10862.2584663322,"24-06-01",1998,"Spring",9,"1990-2005"
"298",298,24,1,"HaliChan",29600.2104848972,14880.4801354813,"24-07-13",1998,"Spring",9,"1990-2005"
"299",299,24,1,"GrandBanks",46541.0205940876,22791.6952978287,"24-06-06",1998,"Spring",9,"1990-2005"
"300",300,24,1,"GBTail",12742.6866758885,7169.71674197966,"24-07-24",1998,"Spring",9,"1990-2005"
"325",325,27,1,"Sable",145344.748710242,38712.804494354,"27-05-17",1999,"Spring",10,"1990-2005"
"326",326,27,1,"Gully",253736.275353367,55197.2969257405,"27-06-25",1999,"Spring",10,"1990-2005"
"327",327,27,1,"BOF",55327.4800029949,21408.4493397586,"27-06-21",1999,"Spring",10,"1990-2005"
"328",328,27,1,"Browns",174154.825977704,57728.6698101882,"27-05-06",1999,"Spring",10,"1990-2005"
"329",329,27,1,"CapeCod",6965.47442041042,3106.99599139088,"27-05-06",1999,"Spring",10,"1990-2005"
"330",330,27,1,"Nantucket",5621.59349189125,2568.41129513611,"27-05-31",1999,"Spring",10,"1990-2005"
"331",331,27,1,"EGOM",39832.4577209511,14590.7614048266,"27-05-16",1999,"Spring",10,"1990-2005"
"332",332,27,1,"Georges",9311.31109900496,3305.94762482784,"27-07-29",1999,"Spring",10,"1990-2005"
"333",333,27,1,"CapeBreton",21820.7443040696,9117.23672071729,"27-06-25",1999,"Spring",10,"1990-2005"
"334",334,27,1,"HaliChan",28886.2852392054,14264.4425640723,"27-05-18",1999,"Spring",10,"1990-2005"
"335",335,27,1,"GrandBanks",39961.211457494,19392.1400940809,"27-05-28",1999,"Spring",10,"1990-2005"
"336",336,27,1,"GBTail",11039.7184612269,6046.22056124433,"27-05-31",1999,"Spring",10,"1990-2005"
"373",373,31,1,"Sable",128988.10681631,35080.3297816181,"30-05-19",2000,"Spring",11,"1990-2005"
"374",374,31,1,"Gully",113255.906887802,29483.5134484392,"30-07-13",2000,"Spring",11,"1990-2005"
"375",375,31,1,"BOF",60768.2918151409,20608.5565200985,"30-07-30",2000,"Spring",11,"1990-2005"
"376",376,31,1,"Browns",151323.425245072,38749.0026039564,"30-07-22",2000,"Spring",11,"1990-2005"
"377",377,31,1,"CapeCod",4779.3381610097,2248.70242258583,"30-07-24",2000,"Spring",11,"1990-2005"
"378",378,31,1,"Nantucket",3694.01920906985,1827.31707487211,"30-06-03",2000,"Spring",11,"1990-2005"
"379",379,31,1,"EGOM",30370.7282601472,13029.135169754,"30-05-19",2000,"Spring",11,"1990-2005"
"380",380,31,1,"Georges",6786.37408987461,2770.05649821835,"30-06-19",2000,"Spring",11,"1990-2005"
"381",381,31,1,"CapeBreton",15577.0092972804,6272.08657024801,"30-07-13",2000,"Spring",11,"1990-2005"
"382",382,31,1,"HaliChan",34965.1389583047,19209.9313915561,"30-05-26",2000,"Spring",11,"1990-2005"
"383",383,31,1,"GrandBanks",26740.9361565178,15385.4550389982,"30-05-02",2000,"Spring",11,"1990-2005"
"384",384,31,1,"GBTail",5271.21608215721,3179.34216801797,"30-05-26",2000,"Spring",11,"1990-2005"
"397",397,33,1,"Sable",186836.923736205,50269.5739706262,"33-05-27",2001,"Spring",12,"1990-2005"
"398",398,33,1,"Gully",170321.32939635,46823.9938133856,"33-06-03",2001,"Spring",12,"1990-2005"
"399",399,33,1,"BOF",59475.0450366353,22334.9019340481,"33-06-10",2001,"Spring",12,"1990-2005"
"400",400,33,1,"Browns",188600.920919824,63645.9863074214,"33-05-06",2001,"Spring",12,"1990-2005"
"401",401,33,1,"CapeCod",6794.76393320752,3033.93341587275,"33-06-24",2001,"Spring",12,"1990-2005"
"402",402,33,1,"Nantucket",4005.69574803298,1878.22641878187,"33-07-14",2001,"Spring",12,"1990-2005"
"403",403,33,1,"EGOM",47453.6369800078,17235.1590229492,"33-07-30",2001,"Spring",12,"1990-2005"
"404",404,33,1,"Georges",7770.14331512441,2831.7926779516,"33-07-04",2001,"Spring",12,"1990-2005"
"405",405,33,1,"CapeBreton",28056.6879021731,11315.9219833357,"33-06-03",2001,"Spring",12,"1990-2005"
"406",406,33,1,"HaliChan",26263.4502541112,13582.5967917926,"33-07-30",2001,"Spring",12,"1990-2005"
"407",407,33,1,"GrandBanks",37712.629674816,18934.5912713448,"33-05-04",2001,"Spring",12,"1990-2005"
"408",408,33,1,"GBTail",11373.9645272633,6228.30637558205,"33-06-29",2001,"Spring",12,"1990-2005"
"433",433,36,1,"Sable",196176.032257539,51802.9098239314,"36-07-26",2002,"Spring",13,"1990-2005"
"434",434,36,1,"Gully",158384.582085966,36053.933212122,"36-07-17",2002,"Spring",13,"1990-2005"
"435",435,36,1,"BOF",55482.7192231675,20214.2994049343,"36-05-17",2002,"Spring",13,"1990-2005"
"436",436,36,1,"Browns",205144.802646259,67195.5925137845,"36-05-11",2002,"Spring",13,"1990-2005"
"437",437,36,1,"CapeCod",7182.99182746184,3132.38913701904,"36-05-17",2002,"Spring",13,"1990-2005"
"438",438,36,1,"Nantucket",4804.3120404873,2211.54784240593,"36-06-16",2002,"Spring",13,"1990-2005"
"439",439,36,1,"EGOM",42811.2604325942,14592.010231065,"36-06-05",2002,"Spring",13,"1990-2005"
"440",440,36,1,"Georges",9630.39575039432,3434.23108418546,"36-05-24",2002,"Spring",13,"1990-2005"
"441",441,36,1,"CapeBreton",27334.6448992041,10941.8010676274,"36-05-24",2002,"Spring",13,"1990-2005"
"442",442,36,1,"HaliChan",26220.6753965229,13702.0256928422,"36-07-08",2002,"Spring",13,"1990-2005"
"443",443,36,1,"GrandBanks",36917.5516338818,18718.7559819266,"36-05-24",2002,"Spring",13,"1990-2005"
"444",444,36,1,"GBTail",15345.8376324332,8318.43915665696,"36-05-15",2002,"Spring",13,"1990-2005"
"469",469,39,1,"Sable",161919.262969694,42905.4652733411,"39-05-18",2003,"Spring",14,"1990-2005"
"470",470,39,1,"Gully",157628.561273008,37202.412232975,"39-06-12",2003,"Spring",14,"1990-2005"
"471",471,39,1,"BOF",77514.5793114602,28788.212294076,"39-07-10",2003,"Spring",14,"1990-2005"
"472",472,39,1,"Browns",276565.049296555,86739.5367162113,"39-07-05",2003,"Spring",14,"1990-2005"
"473",473,39,1,"CapeCod",8850.57380467946,3833.60343983165,"39-05-18",2003,"Spring",14,"1990-2005"
"474",474,39,1,"Nantucket",4773.45607101281,2186.93173500151,"39-05-16",2003,"Spring",14,"1990-2005"
"475",475,39,1,"EGOM",64622.6354708594,22679.926257783,"39-06-04",2003,"Spring",14,"1990-2005"
"476",476,39,1,"Georges",11283.0304541603,4057.82804963333,"39-05-12",2003,"Spring",14,"1990-2005"
"477",477,39,1,"CapeBreton",35675.728177028,14369.0525629546,"39-06-18",2003,"Spring",14,"1990-2005"
"478",478,39,1,"HaliChan",24935.445907764,13706.2843705729,"39-06-29",2003,"Spring",14,"1990-2005"
"479",479,39,1,"GrandBanks",31735.3574937312,16487.4490584909,"39-05-18",2003,"Spring",14,"1990-2005"
"480",480,39,1,"GBTail",11001.0595111218,6176.57652881778,"39-07-04",2003,"Spring",14,"1990-2005"
"517",517,43,1,"Sable",183105.752215816,47759.2970215047,"42-06-11",2004,"Spring",15,"1990-2005"
"518",518,43,1,"Gully",202431.675473939,50951.6746384037,"42-06-13",2004,"Spring",15,"1990-2005"
"519",519,43,1,"BOF",80449.1698231807,28312.9324789154,"42-05-28",2004,"Spring",15,"1990-2005"
"520",520,43,1,"Browns",193357.547867344,52118.950269491,"42-07-15",2004,"Spring",15,"1990-2005"
"521",521,43,1,"CapeCod",9121.68015491598,4056.52121119638,"42-06-02",2004,"Spring",15,"1990-2005"
"522",522,43,1,"Nantucket",4934.60094576143,2368.41218452542,"42-06-16",2004,"Spring",15,"1990-2005"
"523",523,43,1,"EGOM",58332.8019717502,24289.5314120379,"42-05-24",2004,"Spring",15,"1990-2005"
"524",524,43,1,"Georges",9746.87439779688,3819.96856598484,"42-06-29",2004,"Spring",15,"1990-2005"
"525",525,43,1,"CapeBreton",23376.4941192439,9114.48822887276,"42-07-17",2004,"Spring",15,"1990-2005"
"526",526,43,1,"HaliChan",25076.0579523386,14260.8998660102,"42-06-22",2004,"Spring",15,"1990-2005"
"527",527,43,1,"GrandBanks",17070.355825279,10180.1336521146,"42-06-15",2004,"Spring",15,"1990-2005"
"528",528,43,1,"GBTail",13607.9189258918,7844.03210479013,"42-05-18",2004,"Spring",15,"1990-2005"
"541",541,45,1,"Sable",282350.426079458,64815.3015787989,"45-07-02",2005,"Spring",16,"1990-2005"
"542",542,45,1,"Gully",243456.665994065,52675.2831470223,"45-07-28",2005,"Spring",16,"1990-2005"
"543",543,45,1,"BOF",96371.1622544789,36082.9372027858,"45-06-10",2005,"Spring",16,"1990-2005"
"544",544,45,1,"Browns",298349.67071526,96497.6402116758,"45-06-13",2005,"Spring",16,"1990-2005"
"545",545,45,1,"CapeCod",10480.4755666559,4336.3913825812,"45-06-21",2005,"Spring",16,"1990-2005"
"546",546,45,1,"Nantucket",4510.31854834419,2031.84253687469,"45-05-06",2005,"Spring",16,"1990-2005"
"547",547,45,1,"EGOM",69113.1309077591,23282.139859915,"45-07-23",2005,"Spring",16,"1990-2005"
"548",548,45,1,"Georges",14515.4619188643,4574.39464941564,"45-07-10",2005,"Spring",16,"1990-2005"
"549",549,45,1,"CapeBreton",34130.6661274366,12555.3048148411,"45-05-22",2005,"Spring",16,"1990-2005"
"550",550,45,1,"HaliChan",28008.5288066312,14395.2972660094,"45-07-29",2005,"Spring",16,"1990-2005"
"551",551,45,1,"GrandBanks",31331.7978566693,16258.6841527629,"45-06-08",2005,"Spring",16,"1990-2005"
"552",552,45,1,"GBTail",15313.5937935572,8217.09147009757,"45-05-19",2005,"Spring",16,"1990-2005"
"577",577,48,1,"Sable",292586.558286993,70039.406376147,"48-05-29",2006,"Spring",17,"2006-2023"
"578",578,48,1,"Gully",442979.745431826,88055.4590775846,"48-07-13",2006,"Spring",17,"2006-2023"
"579",579,48,1,"BOF",105533.229175958,37568.5273313826,"48-07-29",2006,"Spring",17,"2006-2023"
"580",580,48,1,"Browns",292830.205382084,88933.7392882383,"48-06-05",2006,"Spring",17,"2006-2023"
"581",581,48,1,"CapeCod",13692.8673313072,5367.63227520312,"48-05-18",2006,"Spring",17,"2006-2023"
"582",582,48,1,"Nantucket",6664.84390227427,2981.26549365367,"48-07-23",2006,"Spring",17,"2006-2023"
"583",583,48,1,"EGOM",103740.019978906,29233.2827141115,"48-07-11",2006,"Spring",17,"2006-2023"
"584",584,48,1,"Georges",16195.1041496916,4800.88381204742,"48-05-04",2006,"Spring",17,"2006-2023"
"585",585,48,1,"CapeBreton",45625.2640410969,17448.9573423572,"48-07-27",2006,"Spring",17,"2006-2023"
"586",586,48,1,"HaliChan",27259.3992025187,14981.2496265279,"48-06-05",2006,"Spring",17,"2006-2023"
"587",587,48,1,"GrandBanks",5172.2210435647,3210.82493297584,"48-06-24",2006,"Spring",17,"2006-2023"
"588",588,48,1,"GBTail",2096.22835071567,1277.89791596001,"48-06-28",2006,"Spring",17,"2006-2023"
"625",625,52,1,"Sable",224413.871631874,54579.4215630074,"51-05-24",2007,"Spring",18,"2006-2023"
"626",626,52,1,"Gully",262786.130212041,65657.2767042978,"51-06-11",2007,"Spring",18,"2006-2023"
"627",627,52,1,"BOF",88923.5955413089,27619.8604500333,"51-06-21",2007,"Spring",18,"2006-2023"
"628",628,52,1,"Browns",422792.573912566,96718.2996011567,"51-07-23",2007,"Spring",18,"2006-2023"
"629",629,52,1,"CapeCod",17064.6092450294,7063.48772023026,"51-06-19",2007,"Spring",18,"2006-2023"
"630",630,52,1,"Nantucket",7424.56290144958,3429.12486110007,"51-07-22",2007,"Spring",18,"2006-2023"
"631",631,52,1,"EGOM",81692.2108224871,31249.3530264396,"51-05-27",2007,"Spring",18,"2006-2023"
"632",632,52,1,"Georges",16282.4300075314,6157.51057874965,"51-06-28",2007,"Spring",18,"2006-2023"
"633",633,52,1,"CapeBreton",42487.7761288636,14861.0507097665,"51-06-03",2007,"Spring",18,"2006-2023"
"634",634,52,1,"HaliChan",47069.2842068314,25534.1627992605,"51-05-08",2007,"Spring",18,"2006-2023"
"635",635,52,1,"GrandBanks",27971.123021392,15652.538611212,"51-06-26",2007,"Spring",18,"2006-2023"
"636",636,52,1,"GBTail",27592.8567821636,14934.7025271437,"51-06-19",2007,"Spring",18,"2006-2023"
"649",649,54,1,"Sable",286470.471523186,73009.6700431882,"54-05-10",2008,"Spring",19,"2006-2023"
"650",650,54,1,"Gully",272047.958711798,63570.5453224359,"54-07-19",2008,"Spring",19,"2006-2023"
"651",651,54,1,"BOF",105049.205924332,31601.574521152,"54-07-03",2008,"Spring",19,"2006-2023"
"652",652,54,1,"Browns",467263.480839161,129131.653203972,"54-06-24",2008,"Spring",19,"2006-2023"
"653",653,54,1,"CapeCod",18977.7824619345,7089.08368331911,"54-07-02",2008,"Spring",19,"2006-2023"
"654",654,54,1,"Nantucket",8444.04542321421,3687.06766095293,"54-07-17",2008,"Spring",19,"2006-2023"
"655",655,54,1,"EGOM",116116.38326799,35288.2425725007,"54-05-13",2008,"Spring",19,"2006-2023"
"656",656,54,1,"Georges",16140.4229648512,5130.94011915464,"54-06-08",2008,"Spring",19,"2006-2023"
"657",657,54,1,"CapeBreton",64340.8702350981,23198.3640711326,"54-07-16",2008,"Spring",19,"2006-2023"
"658",658,54,1,"HaliChan",51267.111847433,24287.2453217819,"54-05-21",2008,"Spring",19,"2006-2023"
"659",659,54,1,"GrandBanks",59368.4522290832,27982.2984673635,"54-06-30",2008,"Spring",19,"2006-2023"
"660",660,54,1,"GBTail",35386.801758913,18516.7547366868,"54-05-29",2008,"Spring",19,"2006-2023"
"685",685,57,1,"Sable",303093.458419785,72479.6389838936,"57-06-19",2009,"Spring",20,"2006-2023"
"686",686,57,1,"Gully",335236.138533213,97264.851490235,"57-05-10",2009,"Spring",20,"2006-2023"
"687",687,57,1,"BOF",148538.679286901,45311.4645090349,"57-05-11",2009,"Spring",20,"2006-2023"
"688",688,57,1,"Browns",479019.98785628,150734.921205521,"57-05-31",2009,"Spring",20,"2006-2023"
"689",689,57,1,"CapeCod",23648.1147708034,8677.21456008723,"57-06-10",2009,"Spring",20,"2006-2023"
"690",690,57,1,"Nantucket",6954.3446580025,2927.13552214765,"57-05-03",2009,"Spring",20,"2006-2023"
"691",691,57,1,"EGOM",108652.66953835,29116.4792093656,"57-07-28",2009,"Spring",20,"2006-2023"
"692",692,57,1,"Georges",21316.9531834888,6857.05660464076,"57-06-09",2009,"Spring",20,"2006-2023"
"693",693,57,1,"CapeBreton",90214.565621241,32649.4225679565,"57-07-21",2009,"Spring",20,"2006-2023"
"694",694,57,1,"HaliChan",74139.8035719667,33521.8845845376,"57-07-26",2009,"Spring",20,"2006-2023"
"695",695,57,1,"GrandBanks",84149.7623199856,38564.5578042527,"57-07-12",2009,"Spring",20,"2006-2023"
"696",696,57,1,"GBTail",31839.8447457701,15496.796122683,"57-05-07",2009,"Spring",20,"2006-2023"
"721",721,60,1,"Sable",361919.272722452,88539.3765826343,"60-06-03",2010,"Spring",21,"2006-2023"
"722",722,60,1,"Gully",499215.40900776,117671.68511954,"60-05-23",2010,"Spring",21,"2006-2023"
"723",723,60,1,"BOF",162474.130279662,48080.6075385125,"60-06-15",2010,"Spring",21,"2006-2023"
"724",724,60,1,"Browns",478841.757859325,150645.143568419,"60-06-12",2010,"Spring",21,"2006-2023"
"725",725,60,1,"CapeCod",30161.147929597,10978.059561996,"60-07-27",2010,"Spring",21,"2006-2023"
"726",726,60,1,"Nantucket",10268.65973854,4378.11952648776,"60-06-16",2010,"Spring",21,"2006-2023"
"727",727,60,1,"EGOM",241275.246744732,55580.0369436772,"60-07-24",2010,"Spring",21,"2006-2023"
"728",728,60,1,"Georges",18655.8578778011,5938.85393195242,"60-07-29",2010,"Spring",21,"2006-2023"
"729",729,60,1,"CapeBreton",86184.4665468057,30157.5808238306,"60-06-04",2010,"Spring",21,"2006-2023"
